customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_NoInternetService,OnlineBackup_NoInternetService,DeviceProtection_NoInternetService,TechSupport_NoInternetService,StreamingTV_NoInternetService,StreamingMovies_NoInternetService,MultipleLines_NoPhoneService,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Cluster,PCA1,PCA2,PreferenceCluster
7590-VHVEG,0,0,1,0,1,0,0,1,0,0,0,0,1,29.85,29.85,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,-0.36977072457513155,-2.391368004122428,0
5575-GNVDE,1,0,0,0,34,1,1,0,1,0,0,0,0,56.95,1889.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,-0.057679214018803604,0.30416291919184535,0
3668-QPYBK,1,0,0,0,2,1,1,1,0,0,0,0,1,53.85,108.15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,-0.22179846569963724,-2.40030656534677,0
7795-CFOCW,1,0,0,0,45,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,-0.8338096267161826,1.1412109684482155,0
9237-HQITU,0,0,0,0,2,1,0,0,0,0,0,0,1,70.7,151.65,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-0.523897208969194,-3.7537240838074313,1
9305-CDSKC,0,0,0,0,8,1,0,0,1,0,1,1,1,99.65,820.5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.2570108868978167,-2.520013826608455,1
1452-KIOVK,1,0,0,1,22,1,0,1,0,0,1,0,1,89.1,1949.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,-1.4656600932611867,-0.6398445401329277,1
6713-OKOMC,0,0,0,0,10,0,1,0,0,0,0,0,0,29.75,301.9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.49010574713919336,-2.007957760952194,0
7892-POOKP,0,0,1,0,28,1,0,0,1,1,1,1,1,104.8,3046.05,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.9161657680857545,-1.0154848224118074,1
6388-TABGU,1,0,0,1,62,1,1,1,0,0,0,0,0,56.15,3487.95,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,-0.5364156574852553,1.712091565529435,0
9763-GRSKD,1,0,1,1,13,1,1,0,0,0,0,0,1,49.95,587.45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0.2663699595885955,-1.0978299854655498,0
7469-LKBCI,1,0,0,0,16,1,0,0,0,0,0,0,0,18.95,326.8,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2,5.601523793540521,1.0725978141149914,3
8091-TTVAX,1,0,1,0,58,1,0,0,1,0,1,1,0,100.35,5681.1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,-2.248005287251204,2.119523116796622,2
0280-XJGEX,1,0,0,0,49,1,0,1,1,0,1,1,1,103.7,5036.3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,-2.9472151197467067,-0.1460729875291016,1
5129-JLPIS,1,0,0,0,25,1,1,0,1,1,1,1,1,105.5,2686.05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-2.718601807124879,-0.7883912048771976,1
3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,0,113.25,7895.15,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,-3.3441647861539296,4.534766320112392,2
8191-XWSZG,0,0,0,0,52,1,0,0,0,0,0,0,0,20.65,1022.95,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,5.683144566496275,0.903947385395066,3
9959-WOFKT,1,0,0,1,71,1,1,0,1,0,1,1,0,106.7,7382.25,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,-2.542259308026251,3.2815265342623876,2
